"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL563947";"";"None";"424.93";"1";"5.62";"52";"O=S(=O)(Nc1sccc1-c1nc2ccccc2s1)c1ccc(Cl)cc1F";"IC50";"'='";"18000.0";"nM";"4.75";"";"";"UO_0000065";"11.17";"0.25";"-0.88";"8.03";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL559850";"";"None";"432.55";"0";"4.84";"58";"COc1ccc(S(=O)(=O)Nc2sccc2-c2nc3ccccc3s2)cc1OC";"IC50";"'='";"19000.0";"nM";"4.72";"";"";"UO_0000065";"10.91";"0.23";"-0.12";"6.09";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL551357";"";"None";"414.53";"0";"4.76";"90";"O=S(=O)(Nc1sccc1-c1nc2ccccc2s1)c1ccc2c(c1)CCO2";"IC50";"'='";"22000.0";"nM";"4.66";"";"";"UO_0000065";"11.24";"0.24";"-0.10";"6.82";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL563556";"";"None";"462.62";"1";"6.80";"69";"Cc1ccc(-c2ccc(S(=O)(=O)Nc3sccc3-c3nc4ccccc4s3)cc2)cc1";"IC50";"'='";"28000.0";"nM";"4.55";"";"";"UO_0000065";"9.84";"0.20";"-2.25";"7.71";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL200022";"CLAFICAPAVIR";"-1.0";"393.87";"0";"4.28";"1";"O=C(O)CCN1C(=O)/C(=C/c2ccc(-c3ccc(Cl)cc3)o2)SC1=S";"IC50";"'='";"1698.24";"nM";"5.77";"";"";"UO_0000065";"14.65";"0.32";"1.49";"8.16";"0";"CHEMBL864614";"Inhibitory activity against anthrax lethal factor metalloprotease";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1148588";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL198289";"";"None";"380.45";"0";"3.24";"27";"O=C(O)CN1C(=O)/C(=C/c2ncc(-c3ccc(F)cc3)s2)SC1=S";"IC50";"'='";"22400.0";"nM";"4.65";"";"";"UO_0000065";"12.22";"0.26";"1.41";"6.60";"0";"CHEMBL864614";"Inhibitory activity against anthrax lethal factor metalloprotease";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1148588";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL3099021";"";"None";"381.44";"0";"4.61";"18b";"Cc1cc(N)c2cc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)ccc2n1";"IC50";"'='";"73000.0";"nM";"4.14";"";"";"UO_0000065";"10.84";"0.19";"-0.47";"4.86";"0";"CHEMBL3100684";"Inhibition of Bacillus anthracis lethal factor assessed as MCA-KKVYPYPME[dnp]K amide cleavage after 30 mins by fluorescence plate reader analysis";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL3098056";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"None";""
"CHEMBL438832";"";"None";"416.44";"0";"2.92";"13";"O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)/C(=N\c2nc3ccccc3s2)C1";"IC50";"'='";"9200.0";"nM";"5.04";"";"";"UO_0000065";"12.09";"0.25";"2.12";"3.80";"0";"CHEMBL871509";"Inhibition of Anthrax lethal factor activity by HPLC assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1146035";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL212852";"";"None";"437.93";"0";"4.20";"8";"CCc1nnc(NS(=O)(=O)c2ccc(NC(=O)Nc3ccc(Cl)cc3)cc2)s1";"IC50";"'='";"3900.0";"nM";"5.41";"";"";"UO_0000065";"12.35";"0.26";"1.21";"4.78";"0";"CHEMBL871508";"Inhibition of Anthrax lethal factor activity by microplate assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1146035";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL399925";"";"None";"433.63";"1";"6.50";"5";"CCCCCCCC/C=C\CCCCCCCC(=O)NCCc1cc(O)c(O)cc1O";"IC50";"'='";"70000.0";"nM";"4.16";"";"";"UO_0000065";"9.58";"0.18";"-2.35";"4.63";"0";"CHEMBL922930";"Inhibition of anthrax lethal factor by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1140658";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";""
"CHEMBL552451";"";"None";"457.00";"1";"6.63";"67";"O=S(=O)(Nc1sccc1-c1nc2ccccc2s1)c1ccc2cc(Cl)ccc2c1";"IC50";"'='";"11000.0";"nM";"4.96";"";"";"UO_0000065";"10.85";"0.23";"-1.67";"8.40";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL215785";"";"None";"447.49";"0";"2.37";"16";"O=C(O)c1cc(/C=N/c2ccc(S(=O)(=O)NC3NC=CS3)cc2)c2c(c1)COCO2";"IC50";"'='";"9300.0";"nM";"5.03";"";"";"UO_0000065";"11.24";"0.23";"2.66";"3.98";"0";"CHEMBL871508";"Inhibition of Anthrax lethal factor activity by microplate assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1146035";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL563882";"";"None";"454.52";"1";"6.15";"10";"Cc1csc(NS(=O)(=O)c2cccc(C(F)(F)F)c2)c1-c1nc2ccccc2s1";"IC50";"'='";"9400.0";"nM";"5.03";"";"";"UO_0000065";"11.06";"0.24";"-1.12";"8.51";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL167448";"";"None";"421.50";"0";"4.33";"13";"c1cc(C2=NCCN2)ccc1Oc1ccc(-c2cc3ccc(C4=NCCN4)cc3[nH]2)cc1";"IC50";"'='";"43000.0";"nM";"4.37";"";"";"UO_0000065";"10.36";"0.19";"0.04";"5.92";"0";"CHEMBL1067452";"Inhibition of Bacillus anthracis anthrax lethal factor by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1157595";"1";"Scientific Literature";"J Med Chem";"2010";"None";""
"CHEMBL209974";"";"None";"229.28";"0";"2.72";"58";"Cc1ccc(C)n1-c1ccc(CC(=O)O)cc1";"IC50";"'='";"7600.0";"nM";"5.12";"";"";"UO_0000065";"22.33";"0.41";"2.40";"12.12";"0";"CHEMBL871508";"Inhibition of Anthrax lethal factor activity by microplate assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1146035";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL597398";"";"None";"387.87";"1";"5.63";"32";"Clc1ccc2cc(-c3ccc(Oc4ccc(C5=NCCN5)cc4)cc3)[nH]c2c1";"IC50";"'='";"51000.0";"nM";"4.29";"";"";"UO_0000065";"11.07";"0.21";"-1.34";"8.69";"0";"CHEMBL1067452";"Inhibition of Bacillus anthracis anthrax lethal factor by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1157595";"1";"Scientific Literature";"J Med Chem";"2010";"None";""
"CHEMBL115145";"";"None";"288.25";"0";"2.08";"4";"O=C(O)c1cc(Cc2ccc(O)c(C(=O)O)c2)ccc1O";"IC50";"'='";"3100.0";"nM";"5.51";"";"";"UO_0000065";"19.11";"0.36";"3.43";"4.79";"0";"CHEMBL871508";"Inhibition of Anthrax lethal factor activity by microplate assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1146035";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL214303";"";"None";"284.25";"0";"0.11";"46";"O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1";"IC50";"'='";"35200.0";"nM";"4.45";"";"";"UO_0000065";"15.67";"0.32";"4.34";"3.58";"0";"CHEMBL871508";"Inhibition of Anthrax lethal factor activity by microplate assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1146035";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL551557";"";"None";"596.60";"2";"7.49";"56";"O=S(=O)(Nc1sccc1-c1nc2ccccc2s1)c1cc(OCCC(F)(F)F)ccc1OCCC(F)(F)F";"IC50";"'='";"39000.0";"nM";"4.41";"";"";"UO_0000065";"7.39";"0.16";"-3.08";"5.69";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL561305";"";"None";"477.01";"1";"7.08";"112";"O=S(=O)(Nc1ccccc1-c1nc2ccccc2s1)c1ccc(-c2ccc(Cl)cc2)cc1";"IC50";"'='";"100000.0";"nM";"4.00";"";"";"UO_0000065";"8.39";"0.17";"-3.08";"6.77";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL560304";"";"None";"442.63";"1";"6.43";"25";"Cc1csc(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)c1-c1nc2ccccc2s1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL554928";"";"None";"372.50";"0";"4.83";"43";"O=S(=O)(Nc1sccc1-c1nc2ccccc2s1)c1ccccc1";"IC50";"'='";"39000.0";"nM";"4.41";"";"";"UO_0000065";"11.84";"0.25";"-0.42";"7.47";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL551098";"";"None";"386.52";"1";"5.13";"9";"Cc1csc(NS(=O)(=O)c2ccccc2)c1-c1nc2ccccc2s1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL564957";"";"None";"404.51";"1";"5.27";"15";"Cc1csc(NS(=O)(=O)c2ccc(F)cc2)c1-c1nc2ccccc2s1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL203538";"";"None";"302.35";"0";"0.51";"26";"Cc1cc(S(=O)(=O)N[C@@H](C(=O)NO)C(C)C)ccc1O";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL861855";"Inhibition of LF by MACK assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1138106";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";""
"CHEMBL251733";"";"None";"433.63";"1";"6.50";"4";"CCCCCCCC/C=C\CCCCCCCC(=O)NCCc1cc(O)c(O)c(O)c1";"IC50";"'='";"13000.0";"nM";"4.89";"";"";"UO_0000065";"11.27";"0.22";"-1.61";"5.44";"0";"CHEMBL922930";"Inhibition of anthrax lethal factor by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1140658";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";""
"CHEMBL203848";"";"None";"332.35";"0";"0.32";"41";"Cc1cc(S(=O)(=O)N[C@@H](C(=O)NO)C2CCOC2)ccc1F";"IC50";"'='";"450.0";"nM";"6.35";"";"";"UO_0000065";"19.10";"0.39";"6.03";"6.06";"0";"CHEMBL861855";"Inhibition of LF by MACK assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1138106";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";""
"CHEMBL202508";"";"None";"330.38";"0";"1.33";"45";"Cc1cc(S(=O)(=O)N[C@@H](C(=O)NO)[C@@H](C)C2CC2)ccc1F";"IC50";"'='";"65.0";"nM";"7.19";"";"";"UO_0000065";"21.75";"0.45";"5.86";"7.53";"0";"CHEMBL861854";"Inhibition of LF by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1138106";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";""
"CHEMBL204806";"";"None";"286.31";"0";"-0.04";"5";"COc1ccc(S(=O)(=O)N[C@@H]2CCN(O)C2=O)cc1";"IC50";"'>'";"40000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL861854";"Inhibition of LF by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1138106";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";""
"CHEMBL426112";"";"None";"272.33";"0";"0.49";"10";"CC(C)[C@@H](NS(=O)(=O)c1ccccc1)C(=O)NO";"IC50";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"21.88";"0.45";"5.47";"6.24";"0";"CHEMBL861854";"Inhibition of LF by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1138106";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";""
"CHEMBL551099";"";"None";"438.56";"1";"5.01";"85";"O=S(=O)(Nc1sccc1-c1nc2ccccc2s1)c1ccc(-n2cccn2)cc1";"IC50";"'='";"8000.0";"nM";"5.10";"";"";"UO_0000065";"11.62";"0.24";"0.09";"6.63";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL380982";"";"None";"285.37";"0";"2.03";"10";"O=C(O)CN1C(=O)/C(=C/c2cccs2)SC1=S";"IC50";"'='";"79400.0";"nM";"4.10";"";"";"UO_0000065";"14.37";"0.33";"2.07";"7.12";"0";"CHEMBL864614";"Inhibitory activity against anthrax lethal factor metalloprotease";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1148588";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL371478";"";"None";"447.84";"0";"4.90";"8";"O=C(O)CN1C(=O)/C(=C/c2ccc(-c3cc(C(F)(F)F)ccc3Cl)o2)SC1=S";"IC50";"'='";"194.98";"nM";"6.71";"";"";"UO_0000065";"14.98";"0.33";"1.81";"9.48";"0";"CHEMBL864614";"Inhibitory activity against anthrax lethal factor metalloprotease";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1148588";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL560223";"";"None";"456.49";"1";"5.72";"46";"O=S(=O)(Nc1sccc1-c1nc2ccccc2s1)c1ccc(OC(F)(F)F)cc1";"IC50";"'='";"9600.0";"nM";"5.02";"";"";"UO_0000065";"10.99";"0.24";"-0.70";"7.35";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL2374315";"";"None";"246.36";"0";"3.92";"8";"Cc1csc(N)c1-c1nc2ccccc2s1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL551171";"";"None";"400.55";"1";"5.44";"14";"Cc1ccc(S(=O)(=O)Nc2scc(C)c2-c2nc3ccccc3s2)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL215785";"";"None";"447.49";"0";"2.37";"16";"O=C(O)c1cc(/C=N/c2ccc(S(=O)(=O)NC3NC=CS3)cc2)c2c(c1)COCO2";"IC50";"'='";"8700.0";"nM";"5.06";"";"";"UO_0000065";"11.31";"0.23";"2.69";"4.01";"0";"CHEMBL871509";"Inhibition of Anthrax lethal factor activity by HPLC assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1146035";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL4064688";"";"None";"2168.69";"None";"None";"7";"CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]3CSSC[C@H](NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H]1CSSC[C@H](NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N2";"IC50";"'='";"197.0";"nM";"6.71";"";"";"UO_0000065";"3.09";"None";"None";"None";"0";"CHEMBL4008429";"Inhibition of Bacillus anthracis lethal factor protease preincubated for 30 mins prior to addition of substrate containing fluorescent proteins CyPet and YPet measured every 2 mins for 3 hrs by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL4007405";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL380982";"";"None";"285.37";"0";"2.03";"10";"O=C(O)CN1C(=O)/C(=C/c2cccs2)SC1=S";"IC50";"'='";"79432.82";"nM";"4.10";"";"";"UO_0000065";"14.37";"0.33";"2.07";"7.12";"0";"CHEMBL864614";"Inhibitory activity against anthrax lethal factor metalloprotease";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1148588";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL4067395";"";"None";"2180.75";"None";"None";"4; RTD-1 G10R";"CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]3CSSC[C@H](NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H]1CSSC[C@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N2";"IC50";"'='";"262.0";"nM";"6.58";"";"";"UO_0000065";"3.02";"None";"None";"None";"0";"CHEMBL4008429";"Inhibition of Bacillus anthracis lethal factor protease preincubated for 30 mins prior to addition of substrate containing fluorescent proteins CyPet and YPet measured every 2 mins for 3 hrs by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL4007405";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
